Field	Type	Null	Key	Default	Extra
id	int(11)	NO	PRI	NULL	auto_increment
personel_id	int(11)	NO	MUL	NULL	
donem_id	int(11)	YES		NULL	
tur	varchar(50)	NO		NULL	
tekrar_tipi	enum('tek_sefer','surekli')	NO		tek_sefer	
baslangic_donemi	date	YES		NULL	
bitis_donemi	date	YES		NULL	
hesaplama_tipi	enum('sabit','oran_net','oran_brut','asgari_oran_net','aylik_gun_kesinti')	YES		sabit	
oran	decimal(5,2)	YES		NULL	
parametre_id	int(11)	YES		NULL	
ana_kesinti_id	int(11)	YES		NULL	
aktif	tinyint(1)	YES		1	
durum	enum('beklemede','onaylandi','reddedildi')	YES		onaylandi	
tutar	decimal(10,2)	NO		0.00	
aciklama	text	YES		NULL	
icra_id	int(11)	YES	MUL	NULL	
olusturma_tarihi	timestamp	NO		current_timestamp()	
updated_at	timestamp	YES		NULL	on update current_timestamp()
silinme_tarihi	timestamp	YES		NULL	
onaylayan_id	int(11)	YES		NULL	
onay_tarihi	datetime	YES		NULL	
