PLAKA,"TARİH (GG.AA.YYYY)","BAŞLANGIÇ KM","BİTİŞ KM",NOTLAR
"06 CGZ 847",09.04.2026,71321,,
"06 CGZ 855",09.04.2026,84074,,
"06 CMS 494",09.04.2026,94633,,
"06 CUH 435",09.04.2026,45273,,
"06 CUH 934",09.04.2026,46404,,
"06 CZE 870",09.04.2026,81385,,
"06 CZJ 172",09.04.2026,74964,,
"06 CZM 358",09.04.2026,73730,,
"06 CZM 472",09.04.2026,95684,,
"06 CZM 638",09.04.2026,125965,,
"06 CZM 718",09.04.2026,70902,,
"06 CZM 851",09.04.2026,62236,,
"06 YAT 07",09.04.2026,337074,,
06BCH850,09.04.2026,0,,
"07 GKJ 98",09.04.2026,287966,,
"16 ALY 155",09.04.2026,212000,,
"27 ARR 984",09.04.2026,117152,,
"31 AYE 359",09.04.2026,6545,,
"31 AYE 378",09.04.2026,6566,,
"31 AYE 385",09.04.2026,462,,
"31 AYE 397",09.04.2026,4949,,
"31 AZB 733",09.04.2026,4349,,
"31 ER 250",09.04.2026,146000,,
"33 ATL 283",09.04.2026,249559,,
"34 BFS 173",09.04.2026,133803,,
"34 GIV 750",09.04.2026,70586,,
"34 GPH 820",09.04.2026,185428,,
"34 HCE 024",09.04.2026,64646,,
"34 HCE 551",09.04.2026,95085,,
"34 HCE 679",09.04.2026,80277,,
"34 HCT 667",09.04.2026,96284,,
"34 HDC 762",09.04.2026,276425,,
"34 HDC 801",09.04.2026,101547,,
"34 HDE 554",09.04.2026,59666,,
"34 HDS 877",09.04.2026,65585,,
"34 HEZ 824",09.04.2026,89405,,
"34 HZJ 874",09.04.2026,70463,,
"38 AHG 730",09.04.2026,338851,,
"46 FN 434",09.04.2026,2828,,
"46 FS 909",09.04.2026,40000,,
"81 AB 588",09.04.2026,242777,,
